CODE|ID|PASSWORD|NAME|GENDER|EDU_CODE|BIRTHDAY|TEL|EMAIL|ADDR|EXP_POSITION|EXP|LANG
1|cks|1234|최규성|1|3|19940612|010-9999-1234|cks@naver.com|경기 광주시|3|3|영어,일본어,중국어,스페인어
2|cs|1234|김자바|1|1|20000324|010-3493-8975|cs@gmail.com|경기 성남시|2|2|영어
3|aaa|1234|쌍용용|1|2|19990608|010-2349-1345|aaa@hanmail.net|경기 화성시|1|1|일본어,중국어,스페인어
4|chlrb|1234|박성민|1|5|19810809|010-1283-0980|chlrbtb@naver.com|경기 양평|2|2|일본어,중국어
5|prof|1234|김나경|2|4|20010223|010-2398-9907|prof@gmail.com|서울 강남구|NULL|0|스페인어
6|bvbv|1234|강남구|2|3|19921225|010-2495-4455|bvbv@gmail.com|서울 역삼구|1|1|영어,스페인어
7|alal|1234|역삼구|2|2|19931030|010-0984-6643|alal@naver.com|제주 제주시|1|1|독일어
8|qwer|1234|김삿갓|2|1|19901112|010-1245-3231|qwer@naver.com|경남 부산|2|2|영어,일본어
9|zzzz|1234|최1해|1|1|19890723|010-4567-4783|zzzz@naver.com|전남 광주|3|3|중국어
10|haha|1234|김지은|2|3|20020118|010-3248-1029|hahaha@naver.com|강원 강릉||0|프랑스어
11|GH1|1234|아이란|2|5|19921111|010-3546-8532|dlfks@naver.com|경기 화성시||0|
12|GH2|1234|김그라|1|2|19910120|010-3532-8532|rmfk@gmail.com|서울 구로구|3|3|
13|GH3|1234|우재석|1|3|19940817|010-3545-8532|wotjr@naver.com|경기 시흥시|2|2|
14|GH4|1234|정헝돈|1|1|19910222|010-1546-8532|gjdehs@naver.com|경기 평택시|3|5|
15|GH5|1234|노옹철|1|1|19950731|010-1646-8532|dhdcjf@daum.net|충남 아산시|1|1|
16|GH6|1234|하화|1|4|19901103|010-3541-8532|tgkgk@naver.com|충남 천안시|1|1|
17|GH7|1234|점준하|1|3|19950929|010-3621-4332|wnsgk@yahoo.co.kr|경기 광주시|4|3|
18|GH8|1234|강호돔|1|2|19950713|010-9888-8532|gheha@gmail.com|서울 노원구|1|4|
19|GH9|1234|박하요비|2|4|19960428|010-6123-8532|dyql@daum.net|서울 마포구|2|5|
20|GH10|1234|송지요|2|5|19940624|010-7777-7777|wldy@naver.com|경기 부천시|4|8|
21|ABCD01|1234|고문영|2|4|19910101|010-1234-0001|ABCD01@gmail.com|서울 강남구|1|4|영어
22|ABCD02|1234|문강태|1|1|19910201|010-1234-0002|ABCD02@naver.com|서울 은평구|2|5|
23|ABCD03|1234|문상태|1|1|19860301|010-1234-0003|ABCD03@nate.com|서울 은평구||0|
24|ABCD04|1234|1주리|2|3|19910401|010-1234-0004|ABCD04@hanmail.net|강원 고성군|4|5|영어
25|ABCD05|1234|이상인|1|3|19860501|010-1234-0005|ABCD05@yahoo.com|서울 서초구|1|7|일본어
